tab 	specimens
analysts	citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
	This study	mt	2.6	182.4	49.8	1.7	1	11	-1	AX12-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:08:25	u	Anorthosite	873	828	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX12-1	pmagpy-4.2.24-1: demag_gui	AX12-1b
	This study	mt	2.6	329	42.1	1.7	1	11	0	AX12-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:08:25	u	Anorthosite	873	828	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX12-1	pmagpy-4.2.24-1: demag_gui	AX12-1b
	This study	mt	2.6	334.7	54	1.7	1	11	100	AX12-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:08:25	u	Anorthosite	873	828	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX12-1	pmagpy-4.2.24-1: demag_gui	AX12-1b
	This study	mt	1.5	291	44.1	1.3	1	11	0	AX12-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:09:57	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX12-2	pmagpy-4.2.24-1: demag_gui	AX12-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX12-2		AX12-2b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX12-2		AX12-2b
	This study	mt	1.5	218.1	53.1	1.3	1	11	-1	AX12-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:09:57	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX12-2	pmagpy-4.2.24-1: demag_gui	AX12-2b
	This study	mt	1.5	285.5	56.2	1.3	1	11	100	AX12-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:09:57	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX12-2	pmagpy-4.2.24-1: demag_gui	AX12-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX12-4		AX12-4b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX12-4		AX12-4b
