UID,OLD_DATA,REF,IDENT,SLAT,SLONG,AGE,DAGE,AGEMTD,CONTINENT,REPLOC,INTM,P,NDIR,INC,DEC,K,A95,NINT,B,DB,DB%,DBN (%),VDM/VADM,VDM,VADM,GROUP,TYPE,FORM,ROCKMAG,COMMENTS,LOCATION NAME,QAGE,QSTAT,QTRM,QALT,QMD,QACN,QTECH,QLITH,QMAG,QDIR,QPI
3464,9005,664,ja,65.157,346.344,12.6,0.17,K-Ar,Atlantic Ocean,Iceland,T+;Tv,R,6,-57.3,224,267,4.1,4,20.4,1.6573,8.124019608,13.175,,3.612,,Volcanic,Basalt,Lava flow,Titanomagnetite,"F, dF, DF%, dFn%, VDMc, recalc by rkbono (highlights mark changed values; K-Ar, magstrat (C5An,C5Ar) from Watkins and Walker 1977. radiometric table yields mean age of 12.6 +/- 0.15 (1sd). Compiled from prior K-Ar studies but calibration details appear reported; n fails; ore microscopy showing high temp. exsolution features; pTRM checks; MD checks, fraction of samples corrected using Valet 1996, method code updated; AMS, single field, no cooling rate; tech: not relevant; lith: not relevant; no MagIC entry or raw data available","Neskaupstadur, Eastern Iceland",1,0,1,1,1,0,0,0,0,1,5
3465,9006,664,jb,65.157,346.344,12.6,0.17,K-Ar,Atlantic Ocean,Iceland,T+,T,5,-46.2,210.7,65,9.6,4,23.625,4.3577,18.44529101,30.526,,4.764,,Volcanic,Basalt,Lava flow,Titanomagnetite,"F, dF, DF%, dFn%, VDMc, recalc by rkbono (highlights mark changed values; K-Ar, magstrat (C5An,C5Ar) from Watkins and Walker 1977. radiometric table yields mean age of 12.6 +/- 0.15 (1sd). Compiled from prior K-Ar studies but calibration details appear reported; n fails; ore microscopy showing high temp. exsolution features; pTRM checks; MD checks, fraction of samples corrected using Valet 1996, method code updated; AMS, single field, no cooling rate; tech: not relevant; lith: not relevant; no MagIC entry or raw data available","Neskaupstadur, Eastern Iceland",1,0,1,1,1,0,0,0,0,1,5
3466,9007,664,jc,65.157,346.344,12.6,0.17,K-Ar,Atlantic Ocean,Iceland,T+;Tv,T,6,-36.5,202.9,1385,1.8,4,14.225,2.5038,17.60140598,29.064,,3.147,,Volcanic,Basalt,Lava flow,Titanomagnetite,"F, dF, DF%, dFn%, VDMc, recalc by rkbono (highlights mark changed values; K-Ar, magstrat (C5An,C5Ar) from Watkins and Walker 1977. radiometric table yields mean age of 12.6 +/- 0.15 (1sd). Compiled from prior K-Ar studies but calibration details appear reported; n fails; ore microscopy showing high temp. exsolution features; pTRM checks; MD checks, fraction of samples corrected using Valet 1996, method code updated; AMS, single field, no cooling rate; tech: not relevant; lith: not relevant; no MagIC entry or raw data available","Neskaupstadur, Eastern Iceland",1,0,1,1,1,0,0,0,0,1,5
3467,9008,664,jd,65.157,346.344,12.6,0.17,K-Ar,Atlantic Ocean,Iceland,T+;Tv,T,5,-30.9,208.2,167,5.9,4,22.45,3.0072,13.39510022,21.905,,5.211,,Volcanic,Basalt,Lava flow,Titanomagnetite,"F, dF, DF%, dFn%, VDMc, recalc by rkbono (highlights mark changed values; K-Ar, magstrat (C5An,C5Ar) from Watkins and Walker 1977. radiometric table yields mean age of 12.6 +/- 0.15 (1sd). Compiled from prior K-Ar studies but calibration details appear reported; n fails; ore microscopy showing high temp. exsolution features; pTRM checks; MD checks, fraction of samples corrected using Valet 1996, method code updated; AMS, single field, no cooling rate; tech: not relevant; lith: not relevant; no MagIC entry or raw data available","Neskaupstadur, Eastern Iceland",1,0,1,1,1,0,0,0,0,1,5
387,431,46,A34/A43A,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,3,5.1,0.1,2,3.394847442,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
388,432,46,A35,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,5,5.8,0.5,9,13.34110443,,,,Volcanic,,Lava Flow,,,,0,1,1,0,1,0,0,0,0,0,3
389,433,46,A38,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,5,12.7,0.4,3,4.853857254,,,,Volcanic,,Lava Flow,,,,0,1,1,0,1,0,0,0,0,0,3
390,436,46,B10/B10A,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,6,5.3,0.2,4,5.61975252,,,,Volcanic,,Lava Flow,,,,0,1,1,0,1,0,0,0,0,0,3
391,437,46,B11,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,4,5.2,0.4,8,12.46882649,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
392,438,46,B23,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,1,2.2,,,,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
393,439,46,B24,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,3,3.7,0.3,8,14.11094619,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
394,434,46,B7,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,2,4.2,0.2,5,9.35355327,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
395,435,46,B9,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,5,2.8,0.6,21,34.01433111,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
396,440,46,C13/C13B,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,2,9,1.6,18,35.95211559,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
397,441,46,C23,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,5,8.4,1,12,18.50470434,,,,Volcanic,,Lava Flow,,,,0,1,1,0,1,0,0,0,0,0,3
398,442,46,C26,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,1,2.2,,,,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
399,443,46,D51,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,2,1.4,0.2,14,28.56493422,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
400,444,46,D61,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,1,2.5,,,,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
401,445,46,J58,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,1,8.2,,,,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
402,446,46,J59,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,1,7.9,,,,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
403,447,46,K31A/C/F,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,3,2.6,0.6,23,41.81566077,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
404,448,46,L4,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,5,8.7,1.6,18,28.95869903,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
405,449,46,L5,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,3,12.2,0.4,3,5.679895006,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
406,451,46,L53,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,2,5.9,0.1,2,3.322889726,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
407,450,46,L6,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,4,10.6,1.3,12,20.01302577,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
408,452,46,M10,65.2,344.9,12.8,10.2,Stratigraphy,Atlantic Ocean,Iceland,Z,T,,,,,,1,2.9,,,,,,,Volcanic,,Lava Flow,,,,0,0,1,0,1,0,0,0,0,0,2
438,474,50,Carpathia 615,49,24,13,0.8,Stratigraphy,Europe,Russia,T-,O,,-60,204,,,1,,,,,14.1,,,Igneous,,,,,,,,,,,,,,,,
439,476,50,Carpathia 621,49,24,13,0.8,Stratigraphy,Europe,Russia,T-,O,,-34,175,,,1,,,,,6.5,,,Igneous,,,,,,,,,,,,,,,,
440,479,50,Carpathia 644,49,24,13,0.8,Stratigraphy,Europe,Russia,T-,O,,-59,173,,,1,,,,,8.7,,,Igneous,,,,,,,,,,,,,,,,
441,481,50,Carpathia 669,49,24,13,0.8,Stratigraphy,Europe,Russia,T-,O,,,,,,1,,,,,7.6,,,Igneous,,,,,,,,,,,,,,,,
442,486,50,Carpathia 810,49,24,13,0.8,Stratigraphy,Europe,Russia,T-,O,,57,343,,,1,,,,,7.9,,,Igneous,,,,,,,,,,,,,,,,
443,487,50,Carpathia 820,49,24,13,0.8,Stratigraphy,Europe,Russia,T-,O,,-60,223,,,1,,,,,5.5,,,Igneous,,,,,,,,,,,,,,,,
444,499,50,Carpathia 949,49,24,13,0.8,Stratigraphy,Europe,Russia,T-,O,,,,,,1,,,,,7.1,,,Igneous,,,,,,,,,,,,,,,,
445,500,50,Carpathia 950,49,24,13,0.8,Stratigraphy,Europe,Russia,T-,O,,,,,,1,,,,,7.9,,,Igneous,,,,,,,,,,,,,,,,
928,1055,78,1,20.7,257.8,13,2,K-Ar,North America,Mexico,S,O,7,36.2,317.7,33,10.66314322,2,56.8,0.4,1,1.38032207,,12.62157855,,Volcanic,,,,estimated a95,,0,0,0,1,1,0,0,0,0,0,2
842,969,72,Ice baked C09,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,2,33,3.5,11,21.01576993,,5.1389,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
843,970,72,Ice baked C10,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,1,12,,,,,1.8687,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
844,971,72,Ice baked C11,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,2,34,,,,,5.2946,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
845,972,72,Ice baked C12,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,2,37,0.7,2,3.709315226,,5.7617,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
846,973,72,Ice baked WA08,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,67.2,17.8,,,2,20,6.4,32,69.97671635,,3.1145,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
847,974,72,Ice baked WA14,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,2,22,1.4,6,12.52128944,,3.4259,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
848,975,72,Ice baked WB3,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,67.2,17.8,,,2,64,10.6,17,33.35244195,,9.9663,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
849,976,72,Ice baked WB6,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,3,7.2,0.5,7,12.06803844,,1.1212,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
850,977,72,Ice baked WC54,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,67.2,17.8,,,2,13,1.4,11,21.34639874,,2.0244,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
851,978,72,Ice baked WC64,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,67.2,17.8,,,2,25,2.1,8,16.57640792,,3.8931,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
852,979,72,Ice baked WC75,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,3,27,3.2,12,20.75669091,,4.2045,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
853,980,72,Ice baked WC76,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,2,87,10,11,22.81972184,,13.5479,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
854,981,72,Ice baked WK17,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-67.2,197.8,,,2,43,1.4,3,6.38778428,,6.6961,,,,Baked contact,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
855,982,72,Ice lava F50,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,44,,,,,7.0781,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
856,983,72,Ice lava F55,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,51,,,,,8.2042,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
857,984,72,Ice lava K31,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-64.7,173.9,,,1,34,,,,,5.4695,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
858,985,72,Ice lava K35,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-64.7,173.9,,,1,25,,,,,4.0217,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
859,986,72,Ice lava M30,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,21,,,,,3.3782,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
860,987,72,Ice lava N7A,65,345,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,44,,,,,7.0781,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
861,988,72,Ice lava WA04,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,20,,,,,3.2173,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
862,989,72,Ice lava WA16,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,42,,,,,6.7564,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
863,990,72,Ice lava WB03,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,37,,,,,5.9521,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
864,991,72,Ice lava WB10,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,37,,,,,5.9521,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
865,992,72,Ice lava WC54,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353.9,,,1,22,,,,,3.5391,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
866,993,72,Ice lava WC75,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-64.7,173.9,,,1,30,,,,,4.826,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
867,994,72,Ice lava WG10,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,N,,64.7,353,,,1,43,,,,,6.9172,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
868,995,72,Ice lava WG11,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-64.7,173.9,,,1,45,,,,,7.239,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
869,996,72,Ice lava WG12,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-64.7,173.9,,,1,40,,,,,6.4346,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
870,997,72,Ice lava WG13,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,R,,-64.7,173.9,,,1,37,,,,,5.9521,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
871,998,72,Ice lava WK4,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,T,,-64.7,173.9,,,1,11,,,,,1.7695,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
872,999,72,Ice lava WL3,65,340,13.3,11.3,Estimated,Atlantic Ocean,Iceland,W,T,,-64.7,173.9,,,1,36,,,,,5.7912,,Volcanic,,Lava Flow,,VDMc,Iceland,0,0,0,0,0,0,0,0,0,0,0
223,235,23,335-6-1,37,326,13.5,3,Stratigraphy,Atlantic Ocean,,Z,O,,-70,,,,1,36.5,,,,8.3,5.485328524,,Volcanic,Basalt,,,,,,,,,,,,,,,
293,309,31,335-10,37.3,324.8,13.5,3,Stratigraphy,Atlantic Ocean,,T-,O,,-67,,,,1,30,,,,,4.683760608,,Volcanic,Basalt,,,VDMc,Deep-Sea Drilling Project,1,0,0,0,0,0,0,0,0,0,1
1722,2211,151,Combevieille,45.07,4.15,13.55,0.05,Ar/Ar,Europe,France,T+,N,10,70.5,12.3,543,2.1,6,47.7,5.1,10.6918239,14.74576879,,7.3,,Sedimentary,,Baked contact,,,"Massif Central, Velay Oriental, France",1,1,0,1,1,0,0,0,1,1,6
446,501,50,Carpathia 997,49,24,13.8,1,Stratigraphy,Europe,Russia,T-,O,,,,,,1,,,,,7.7,,,Igneous,,,,,,,,,,,,,,,,
2604,6407,512,0335x052129,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,2,32.2,0.5,1,3.044127317,,,6.2,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2605,6408,512,0335x063021,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,2,14,5.1,36,82.71145216,,,2.7,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2606,6409,512,0335x063060,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,1,4.6,,,,,,0.9,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2607,6410,512,0335x064091,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,2,19.8,1.6,8,15.93835971,,,3.8,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2608,6411,512,0335x072002,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,2,5.8,2.2,38,87.38734646,,,1.1,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2609,6412,512,0335x091058,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,3,22.9,4.1,18,31.84347415,,,4.4,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2610,6413,512,0335x094127,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,3,18,4.8,26,49.10416587,,,3.5,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2611,6414,512,0335x094129,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,1,20.5,,,,,,4,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2612,6415,512,0335x101145,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,2,21.9,4,18,37.00358168,,,4.2,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2613,6416,512,0335x102095,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,1,17.9,,,,,,3.4,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2614,6417,512,0335x121103,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,1,20.6,,,,,,4,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2615,6418,512,0335x131054,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,1,11.6,,,,,,2.2,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2616,6419,512,0335x132054,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,1,16.9,,,,,,3.3,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
2617,6420,512,0335x133006,37,325,13.8,2,GPTS,Atlantic Ocean,,T+,O,,,,,,4,22.8,3.9,17,28.20850839,,,4.4,Volcanic,Glass,Lava Flow,,VADM; Berggren et al. 1995; supersedes ref. 146,,1,0,0,1,0,0,0,0,1,0,3
929,1059,78,7,20.7,257.5,14,2,K-Ar,North America,Mexico,S,O,6,-28.5,154.7,6,29.81320009,1,20.5,,,,,4.827437981,,Volcanic,,,,estimated a95,,0,0,0,1,1,0,0,0,0,0,2
2188,2796,188,C-TA14,16,332,14,,Ar/Ar,Atlantic Ocean,Canary Islands,T+,R,8,-33.3,175.4,298,3.2,4,21.4,2.3,11,17.49344104,,4.868414623,,Volcanic,Basalt,Lava Flow,,VDMc,,1,0,0,1,1,0,0,0,0,1,4
2333,3030,205,C-TP01,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,7,-44.7,191.1,480,2.8,3,9.9,1.2,12,21.24005077,,2.030290122,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2334,3031,205,C-TP03,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,7,-47.3,182.2,252,3.8,4,26.5,4.5,17,27.99497199,,5.285668791,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2335,3032,205,C-TP05,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,6,-44.1,194.9,320,3.8,4,16.5,2.7,16,26.93564746,,3.404874725,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2336,3033,205,C-TP11,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,10,-55.9,156.5,59,6.3,3,8.8,2.7,31,57.71482429,,1.586010682,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2337,3034,205,C-TP17,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,7,-57.4,198.8,114,5.7,3,8.5,2.6,31,57.50780332,,1.50323876,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2338,3035,205,C-TP20,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,6,-54.2,158.2,97,7,1,6.2,,,,,1.141197067,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2339,3036,205,C-TP23,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,8,-40,176.5,44,8.5,2,2.8,0.2,7,14.06884728,,0.601509575,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,0,3
2340,3037,205,C-TP24,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,7,-33.6,176.2,106,5.9,2,4.1,0.6,15,29.29115693,,0.930554454,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2341,3038,205,C-TP26,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,T,6,39.2,195.6,121,6.1,2,2.1,0.3,14,28.56493422,0.4,0.45448179,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,0,0,0,0,0,0,1,2
2342,3039,205,C-TP27,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,T,6,41.5,201.2,96,7.1,2,3.7,1.6,43,105.8162116,,0.783590239,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2343,3040,205,C-TP31,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,6,-36.1,157.9,380,3.5,3,11.4,3.5,31,57.75896849,,2.535342349,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2344,3041,205,C-TP33,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,6,-46.8,176.6,202,5.6,1,5.3,,,,,1.06291793,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2345,3042,205,C-TP34,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,6,-54.6,173.5,277,4.1,1,22.1,,,,,4.047867814,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2346,3043,205,C-TP35,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,6,-50.9,160.9,126,6,2,15.5,2.6,17,33.80292874,,2.96803606,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,1,4
2347,3044,205,C-TP41,17.8,331.3,14,0.1,Estimated,Atlantic Ocean,Canary Islands,T+,R,8,-61.4,191.8,35,9.6,3,11.2,3.4,30,56.99797173,,1.881155576,,Volcanic,Basalt,Lava Flow,,weighted mean paleointensity ; VDMc,,0,0,1,1,1,0,0,0,0,0,3
